num,state/ut,pedestrian-male,pedestrian-female,pedestrian-total,bicycle-male,bicycle-female,bicycle-total,motorcycle-male,motorcycle-female,motorcycle-total,scooter-male,scooter-female,scooter-total,moped-male,moped-female,moped-total,population
0,Andhra Pradesh,1049,202,1251,154,2,156,2204,252,2456,74,17,91,104,11,115,49386799
1,Arunachal Pradesh,0,0,0,1,0,1,27,5,32,8,2,10,0,0,0,1382611
2,Assam,24,0,24,11,0,11,451,26,477,43,19,62,65,10,75,31169272
3,Bihar,161,39,200,115,16,131,755,131,886,24,38,62,18,45,63,103804637
4,Chhattisgarh,41,8,49,21,7,28,1018,103,1121,17,20,37,78,20,98,25540196
5,Goa,56,3,59,2,0,2,128,1,129,94,5,99,0,0,0,1457723
6,Gujarat,589,108,697,124,4,128,1689,229,1918,159,56,215,145,53,198,60383628
7,Haryana,1416,180,1596,95,7,102,1151,108,1259,117,20,137,29,15,44,25353081
8,Himachal Pradesh,171,43,214,0,0,0,267,28,295,0,0,0,8,2,10,6864602
9,Jharkhand,8,2,10,0,1,1,530,58,588,243,75,318,101,49,150,32988134
10,Karnataka,371,228,599,60,6,66,3268,339,3607,627,98,725,91,13,104,61130704
11,Kerala,964,282,1246,108,4,112,1383,106,1489,189,110,299,23,3,26,33387677
12,Madhya Pradesh,1334,293,1627,144,22,166,3077,379,3456,127,21,148,72,35,107,72597565
13,Maharashtra,1656,447,2103,348,51,399,4880,516,5396,324,100,424,211,50,261,112372972
14,Meghalaya,24,8,32,1,0,1,10,5,15,3,2,5,0,0,0,2964007
15,Mizoram,3,1,4,0,0,0,12,1,13,1,0,1,0,0,0,1091014
16,Nagaland,1,0,1,0,0,0,5,1,6,3,0,3,0,0,0,1980602
17,Orissa,204,47,251,57,4,61,1165,171,1336,135,25,160,52,34,86,41947358
18,Punjab,373,60,433,186,16,202,1437,149,1586,238,90,328,43,30,73,27704236
19,Rajasthan,740,158,898,118,14,132,2394,279,2673,146,37,183,57,15,72,68621012
20,Sikkim,2,1,3,0,0,0,6,5,11,0,0,0,0,0,0,607688
21,Tamil Nadu,2242,724,2966,318,19,337,5145,513,5658,499,128,627,663,126,789,72138958
22,Telangana,503,116,619,37,2,39,2251,195,2446,59,1,60,73,13,86,35286757
23,Tripura,30,12,42,7,0,7,40,2,42,0,0,0,2,1,3,3671032
24,Uttarakhand,15,3,18,0,0,0,238,7,245,58,21,79,18,5,23,10116752
25,Uttar Pradesh,199,85,284,275,117,392,4016,786,4802,369,157,526,530,226,756,199812341
26,West Bengal,72,0,72,9,8,17,1520,12,1532,232,19,251,50,10,60,91347736
27,Andaman and Nicobar Islands,4,1,5,0,0,0,5,3,8,1,1,2,0,0,0,379944
28,Chandigarh,30,8,38,26,2,28,31,1,32,21,4,25,0,0,0,1055450
29,Dadra and Nagar Haveli,8,1,9,1,0,1,18,5,23,0,0,0,2,1,3,342853
30,Daman and Diu,5,2,7,2,0,2,19,1,20,0,0,0,2,0,2,242911
31,Delhi,206,44,250,44,2,46,352,36,388,96,12,108,33,17,50,16787941
32,Lakshadweep,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,64429
33,Puducherry,57,19,76,16,0,16,83,18,101,8,0,8,1,0,1,1244464
