State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL
00,000,00000,000000,0000,000000,India,India,Total,249501663,1210854977,623270258,587584719,164515253,85752254,78762999,201378372,103535314,97843058,104545716,52547215,51998501,763638812,434763622,328875190,447216165,188506636,258709529
00,000,00000,000000,0000,000000,India,India,Rural,168612897,833748852,427781058,405967794,121322865,63084449,58238416,153850848,79118287,74732561,94083844,47263733,46820111,482793835,281361374,201432461,350955017,146419684,204535333
00,000,00000,000000,0000,000000,India,India,Urban,80888766,377106125,195489200,181616925,43192388,22667805,20524583,47527524,24417027,23110497,10461872,5283482,5178390,280844977,153402248,127442729,96261148,42086952,54174196
01,000,00000,000000,0000,000000,STATE,JAMMU & KASHMIR,Total,2119718,12541302,6640662,5900640,2018905,1084355,934550,924991,486232,438759,1493299,776257,717042,7067233,4264671,2802562,5474069,2375991,3098078
01,000,00000,000000,0000,000000,STATE,JAMMU & KASHMIR,Rural,1553433,9108060,4774477,4333583,1593008,854141,738867,751026,392981,358045,1406833,730075,676758,4747950,2891749,1856201,4360110,1882728,2477382
01,000,00000,000000,0000,000000,STATE,JAMMU & KASHMIR,Urban,566285,3433242,1866185,1567057,425897,230214,195683,173965,93251,80714,86466,46182,40284,2319283,1372922,946361,1113959,493263,620696
01,001,00000,000000,0000,000000,DISTRICT,Kupwara,Total,113929,870354,474190,396164,188798,100459,88339,1048,1046,2,70352,36913,33439,439654,282823,156831,430700,191367,239333
01,001,00000,000000,0000,000000,DISTRICT,Kupwara,Rural,101930,765625,412038,353587,169588,90235,79353,872,870,2,68491,35855,32636,374998,238785,136213,390627,173253,217374
01,001,00000,000000,0000,000000,DISTRICT,Kupwara,Urban,11999,104729,62152,42577,19210,10224,8986,176,176,0,1861,1058,803,64656,44038,20618,40073,18114,21959
01,002,00000,000000,0000,000000,DISTRICT,Badgam,Total,103363,753745,398041,355704,155202,84720,70482,368,343,25,23912,12383,11529,335649,207741,127908,418096,190300,227796
01,002,00000,000000,0000,000000,DISTRICT,Badgam,Rural,89417,655833,343385,312448,140608,76753,63855,86,78,8,23293,12025,11268,278265,170641,107624,377568,172744,204824
01,002,00000,000000,0000,000000,DISTRICT,Badgam,Urban,13946,97912,54656,43256,14594,7967,6627,282,265,17,619,358,261,57384,37100,20284,40528,17556,22972
01,003,00000,000000,0000,000000,DISTRICT,Leh(Ladakh),Total,21909,133487,78971,54516,12016,6174,5842,488,444,44,95857,47543,48314,93770,62834,30936,39717,16137,23580
01,003,00000,000000,0000,000000,DISTRICT,Leh(Ladakh),Rural,14905,87816,48411,39405,9053,4684,4369,108,89,19,73789,36318,37471,56789,36062,20727,31027,12349,18678
01,003,00000,000000,0000,000000,DISTRICT,Leh(Ladakh),Urban,7004,45671,30560,15111,2963,1490,1473,380,355,25,22068,11225,10843,36981,26772,10209,8690,3788,4902
